e, e_dot, e_int, stamp, 
-0.7457766109217174, 0.29408999821738463, -0.15259633709110376, 1731684422212205215, 
-0.6996906940562111, 0.30684332978944573, -0.14313193398606025, 1731684422307366903, 
-0.6568819289641121, 0.296315606525351, -0.14517152722275978, 1731684422419361369, 
-0.61531531049582, 0.281251278534637, -0.13658449776351503, 1731684422515164459, 
-0.5697424503519675, 0.29046492870714885, -0.11844578439817902, 1731684422612276129, 
-0.5266135686078974, 0.2956724729597419, -0.10925409184456575, 1731684422706651148, 
-0.4895203766237213, 0.2674069124274873, -0.10938767774625884, 1731684422819204635, 
-0.452912221034818, 0.24567115857693148, -0.10210206630537137, 1731684422915158005, 
-0.4172599992694912, 0.24086792451410025, -0.08706278079180957, 1731684423011298306, 
-0.3840478627635222, 0.22954786090431925, -0.08029739428635657, 1731684423107223326, 
-0.3475510364160477, 0.2323632095114784, -0.07961594540560384, 1731684423219198368, 
-0.31539305589791367, 0.22884935621869515, -0.07257160137215948, 1731684423315166475, 
-0.29286427347116506, 0.1822892098162754, -0.06121894501565373, 1731684423411346545, 
-0.27292189064701633, 0.14157055083632444, -0.05627168907363598, 1731684423506745059, 
-0.2580696894036252, 0.1159819468917996, -0.05707279028325719, 1731684423619172186, 
-0.24545003053258352, 0.09157286704810937, -0.05395134010037354, 1731684423715201198, 
-0.23307776822250803, 0.08330640393705717, -0.04718550501435235, 1731684423811348398, 
-0.22202348692328, 0.07808847869767839, -0.044727566918832444, 1731684423906739924, 
-0.21083075337536705, 0.07415671615713659, -0.046385827463499986, 1731684424020314900, 
-0.19785328036263827, 0.08056735520213909, -0.043817036993330484, 1731684424115158417, 
-0.1854142723654002, 0.08472160336655617, -0.03782526383821797, 1731684424211319975, 
-0.16960994066851764, 0.09414446564706876, -0.03542704702171235, 1731684424307391131, 
-0.15378650018238016, 0.10542590727673347, -0.03525536728568256, 1731684424419189226, 
-0.13710005673593573, 0.10836627977527306, -0.03189344050652378, 1731684424515167568, 
-0.12252669379840819, 0.10419935461323988, -0.026474818797185475, 1731684424611308023, 
-0.10895284784882531, 0.0938240296237014, -0.02362007402606626, 1731684424707419723, 
-0.0953805646450161, 0.09048709717797365, -0.022762404334315527, 1731684424820226798, 
-0.08333699524263283, 0.08538617535397493, -0.01992462097244403, 1731684424915205652, 
-0.07370923723522615, 0.07223775803263315, -0.016076641071862453, 1731684425011291787, 
-0.0667458865195778, 0.055303695743516755, -0.014321409557125448, 1731684425107188412, 
-0.06226789671934263, 0.03813780171961175, -0.01412324920888597, 1731684425220294926, 
-0.05951610108022498, 0.024099284797842735, -0.013070621028475315, 1731684425315175932, 
-0.06038135964352387, 0.006288456919395872, -0.011597884893483533, 1731684425411295318, 
-0.06183838429000543, -0.007740944032601504, -0.011735797613846662, 1731684425508904323, 
-0.06285256568816644, -0.008237353482141904, -0.012827554131700199, 1731684425619228436, 
-0.06446677120169575, -0.00876128970563439, -0.013007968724545205, 1731684425715207856, 
-0.06770739969493755, -0.01618278002257038, -0.012487865145091205, 1731684425811323100, 
-0.06553556607112299, -0.003562649564757455, -0.012792511702280239, 1731684425909318352, 
-0.06297177581969704, 0.015785412917468378, -0.013596541061005074, 1731684426019205662, 
-0.057786012631668715, 0.025831844798180903, -0.012782559380902989, 1731684426115164010, 
-0.053856898764343075, 0.03038292351784655, -0.01118090000447079, 1731684426211301187, 
-0.049612309183418635, 0.027245678160833602, -0.010327190474055625, 1731684426307291566, 
-0.04408845036546927, 0.03256149466291269, -0.010234553929590485, 1731684426419380267, 
-0.04030426574008228, 0.031026811477787852, -0.00928797335130124, 1731684426515223470, 
-0.03486152655144936, 0.030756412713399683, -0.007625554296321916, 1731684426611211286, 
-0.02840310913834765, 0.039670522005782104, -0.006616910091156844, 1731684426706890370, 
-0.02335092759502233, 0.0383686631880901, -0.006009244431943529, 1731684426819346321, 
-0.01936792668127385, 0.030117274856912662, -0.00493767860597031, 1731684426915166901, 
-0.014512388856788405, 0.029461795794113083, -0.0036622164504582114, 1731684427011315755, 
-0.009250574984002391, 0.033724505657571534, -0.0029865863369122757, 1731684427122901054, 
-0.005537775632492359, 0.029915377414320155, -0.0020316506984648522, 1731684427219329348, 
-0.0050536854534910525, 0.013989631768371128, -0.0012787152524415782, 1731684427316235334, 
-0.004346336772375281, 0.003971462867056926, -0.0009560527177935311, 1731684427411336107, 
-0.003586158418151797, 0.004891756784464185, -0.0008262144987250239, 1731684427507103116, 
-0.0006383998628591847, 0.012359789698386988, -0.0005940716090121344, 1731684427619274113, 
0.0023689440111041016, 0.019850341430852996, -0.0001293211047608772, 1731684427716178526, 
0.0024326263027916184, 0.010236753885502678, 0.00026635415146004563, 1731684427811210154, 
0.00011223214405253756, -0.00752237289017188, 0.00031356091701813845, 1731684427907615353, 
0.00025845095737242474, -0.007247251151397312, 0.00019440163642404925, 1731684428019251731, 
0.0009611834548839404, 0.002829837702771343, 9.217376777870774e-05, 1731684428115234729, 
0.000586175674457845, 0.0010924157236180676, 0.00011565402736481912, 1731684428211388260, 
0.0003396621623399376, -0.0020717376418133426, 0.00012083774706122664, 1731684428307343447, 
0.000601860253649722, 5.228193063958978e-05, 0.00010583864617438337, 1731684428419227715, 
-0.0010515565213671252, -0.004637395612356876, -7.623167405305208e-06, 1731684428515183572, 
